product_name,price,og_price,discount_percent,product_color,family,img_url
DENIM SHIRT,1590.0,2990.0,46,Mid-blue,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/1820/320/427/2/w/1024/1820320427_6_1_1.jpg?ts=1689600849710
DENIM SHIRT,1590.0,2990.0,46,Aubergine,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/1820/320/610/2/w/1024/1820320610_6_1_1.jpg?ts=1694432927530
DENIM SHIRT,1590.0,2990.0,46,Blue / Green,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/1820/301/445/2/w/1024/1820301445_6_1_1.jpg?ts=1694683238504
DENIM SHIRT,1590.0,2990.0,46,Billiard green,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/1820/320/503/2/w/1024/1820320503_6_1_1.jpg?ts=1692886988095
DENIM SHIRT,1590.0,2990.0,46,Black,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/1820/320/800/2/w/1024/1820320800_6_1_1.jpg?ts=1689600850626
DENIM SHIRT,1590.0,2990.0,46,Blue,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/1820/320/400/2/w/1024/1820320400_6_1_1.jpg?ts=1689600849568
OVERSHIRT WITH CONTRAST TOPSTITCHING,2290.0,3990.0,42,Blue,SOBRECAMISA,https://static.zara.net/photos///2023/I/0/2/p/6917/325/400/2/w/1024/6917325400_6_1_1.jpg?ts=1693902378087
OVERSHIRT WITH CONTRAST TOPSTITCHING,2290.0,3990.0,42,Bottle green,SOBRECAMISA,https://static.zara.net/photos///2023/I/0/2/p/6917/325/501/2/w/1024/6917325501_6_1_1.jpg?ts=1693902379421
TEXTURED COTTON SWEATER,1590.0,2590.0,38,Black / White,JERSEY,https://static.zara.net/photos///2023/I/0/2/p/3284/326/064/2/w/1024/3284326064_6_1_1.jpg?ts=1689929227118
TEXTURED COTTON SWEATER,1590.0,2590.0,38,Navy / White,JERSEY,https://static.zara.net/photos///2023/I/0/2/p/3284/326/043/2/w/1024/3284326043_6_1_1.jpg?ts=1689851979639
TEXTURED COTTON SWEATER,1590.0,2590.0,38,Black,JERSEY,https://static.zara.net/photos///2023/I/0/2/p/3284/326/800/2/w/1024/3284326800_6_1_1.jpg?ts=1689851979345
OVERSHIRT WITH CONTRAST TOPSTITCHING,2290.0,3990.0,42,Mustard,SOBRECAMISA,https://static.zara.net/photos///2023/I/0/2/p/6917/325/305/2/w/1024/6917325305_6_1_1.jpg?ts=1693902379101
GILET WITH RUBBERISED FINISH,1890.0,3290.0,42,Light khaki,CHALECO,https://static.zara.net/photos///2023/I/0/2/p/8574/440/506/2/w/1024/8574440506_6_1_1.jpg?ts=1689927798701
GILET WITH RUBBERISED FINISH,1890.0,3290.0,42,Black,CHALECO,https://static.zara.net/photos///2023/I/0/2/p/8574/440/800/2/w/1024/8574440800_6_1_1.jpg?ts=1689927798606
TEXTURED COTTON SWEATER,1590.0,2590.0,38,Oyster White,JERSEY,https://static.zara.net/photos///2023/I/0/2/p/3284/326/251/2/w/1024/3284326251_6_1_1.jpg?ts=1689929402324
MINIMALIST LACE-UP TRAINERS,1890.0,2990.0,36,Black,DEPORTIVO,https://static.zara.net/photos///2023/V/1/2/p/2201/120/800/2/w/1024/2201120800_6_1_1.jpg?ts=1674817937966
KNIT FABRIC RUNNING SNEAKERS,1890.0,2890.0,34,Grey,RUNNING,https://static.zara.net/photos///2023/I/1/2/p/2310/220/802/2/w/1024/2310220802_6_1_1.jpg?ts=1689156834863
MULTI-PIECE SNEAKERS,2990.0,4590.0,34,Multicoloured,DEPORTIVO,https://static.zara.net/photos///2023/V/1/2/p/2217/120/203/2/w/1024/2217120203_6_1_1.jpg?ts=1677166706100
COLOURED DENIM OVERSHIRT,1890.0,2990.0,36,Taupe grey,SOBRECAMISA,https://static.zara.net/photos///2023/I/0/2/p/7446/430/832/2/w/1024/7446430832_6_1_1.jpg?ts=1689085943606
SANDALS WITH CORDS,2590.0,3990.0,35,Beige,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2713/120/102/2/w/1024/2713120102_6_1_1.jpg?ts=1689697482317
ABSTRACT PRINT SHIRT,1890.0,3290.0,42,Printed,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/7545/112/020/2/w/1024/7545112020_6_1_1.jpg?ts=1691057349027
MODAL BLEND SHIRT,1890.0,3290.0,42,Ochre,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/0775/324/703/2/w/1024/0775324703_6_1_1.jpg?ts=1689754034335
ABSTRACT PRINT TEXTURED SHIRT,1890.0,3290.0,42,Green,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/5887/878/500/2/w/1024/5887878500_6_1_1.jpg?ts=1689851980694
COLOURED DENIM OVERSHIRT,1890.0,2990.0,36,Light green,SOBRECAMISA,https://static.zara.net/photos///2023/I/0/2/p/7446/430/526/2/w/1024/7446430526_6_1_1.jpg?ts=1689085943051
COLOURED DENIM OVERSHIRT,1890.0,2990.0,36,Black,SOBRECAMISA,https://static.zara.net/photos///2023/I/0/2/p/7446/430/800/2/w/1024/7446430800_6_1_1.jpg?ts=1689085943206
MUSCLE FIT KNIT T-SHIRT,1590.0,2990.0,46,Charcoal,JERSEY,https://static.zara.net/photos///2023/I/0/2/p/6674/302/822/2/w/1024/6674302822_6_1_1.jpg?ts=1691057348579
TECHNICAL BOMBER JACKET,3990.0,5990.0,33,Grey,CAZADORA,https://static.zara.net/photos///2023/I/0/2/p/8281/324/802/2/w/1024/8281324802_6_1_1.jpg?ts=1688641819519
CHUNKY SANDALS,1290.0,1790.0,27,Black,ABIERTO,https://static.zara.net/photos///2023/V/1/2/p/2711/120/800/2/w/1024/2711120800_6_1_1.jpg?ts=1675427728639
MONK SHOES,2890.0,4990.0,42,Black,ZAPATO,https://static.zara.net/photos///2023/I/1/2/p/2402/220/800/2/w/1024/2402220800_6_1_1.jpg?ts=1689777243702
MUSCLE FIT KNIT T-SHIRT,1590.0,2990.0,46,Ecru,JERSEY,https://static.zara.net/photos///2023/I/0/2/p/6674/302/712/2/w/1024/6674302712_6_1_1.jpg?ts=1691057348492
CORD SANDALS - LIMITED EDITION,2590.0,3990.0,35,Black,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2713/221/800/2/w/1024/2713221800_6_1_1.jpg?ts=1689697483378
CHECK TEXTURE SUIT BLAZER,4990.0,9590.0,47,Grey,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/5724/515/802/2/w/1024/5724515802_6_1_1.jpg?ts=1689860634138
MINI CROSSBODY BAG,1590.0,2590.0,38,Sand Brown,BOLSOS,https://static.zara.net/photos///2023/I/1/2/p/3632/120/107/2/w/1024/3632120107_6_1_1.jpg?ts=1689772466848
SOFT DENIM BERMUDA SHORTS,1590.0,2590.0,38,Light blue,BERMUDA,https://static.zara.net/photos///2023/V/0/2/p/1187/444/406/2/w/1024/1187444406_6_1_1.jpg?ts=1679302918871
CRISS-CROSS SANDALS,1890.0,2890.0,34,Bone White,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2707/121/120/2/w/1024/2707121120_6_1_1.jpg?ts=1689693871798
TEXTURED SUIT TROUSERS,2290.0,4990.0,54,Mid-green,PANTALON,https://static.zara.net/photos///2023/I/0/1/p/5725/511/527/2/w/1024/5725511527_6_1_1.jpg?ts=1692629550560
SOFT DENIM BERMUDA SHORTS,1590.0,2590.0,38,Blue,BERMUDA,https://static.zara.net/photos///2023/V/0/2/p/1187/444/407/2/w/1024/1187444407_6_1_1.jpg?ts=1679299869278
EMBOSSED BOWLING BAG,2990.0,4590.0,34,Black,BOLSOS,https://static.zara.net/photos///2023/V/1/2/p/3127/120/800/2/w/1024/3127120800_6_1_1.jpg?ts=1681905905521
KNOTTED SANDALS,1890.0,2990.0,36,Blue,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2712/220/400/2/w/1024/2712220400_6_1_1.jpg?ts=1689693943397
SANDALS WITH CORDS,2590.0,3990.0,35,Multicoloured,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2713/120/203/2/w/1024/2713120203_6_1_1.jpg?ts=1687961981628
TEXTURED SUIT BLAZER,4990.0,9590.0,47,Sky blue,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/4584/898/403/2/w/1024/4584898403_6_1_1.jpg?ts=1689590981982
TEXTURED SUIT BLAZER,4990.0,9590.0,47,Navy blue,BLASIER,https://static.zara.net/photos///2023/I/0/1/p/0706/360/401/2/w/1024/0706360401_6_1_1.jpg?ts=1689923598784
TEXTURED SUIT BLAZER,4990.0,9590.0,47,Grey,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/5724/510/802/2/w/1024/5724510802_6_1_1.jpg?ts=1689854409330
